,Consequente,Antecedente,FR,FA,FC,Conf
0,"('34098-8', '67554-0')","(('32908-1', '34098-8'),)",6,8,11,75.0
1,"('34098-8', '67554-0')","(('32908-1', '22998-1'),)",7,7,11,100.0
2,"('34098-8', '67554-0')","(('22998-1', '34098-8'),)",7,7,11,100.0
3,"('34098-8', '67554-0')","(('22998-1', '34098-8'), ('32908-1', '22998-1'))",7,7,11,100.0
4,"('32908-1', '22998-1')","(('22998-1', '34098-8'), ('34098-8', '67554-0'))",7,7,7,100.0
5,"('22998-1', '34098-8')","(('32908-1', '22998-1'), ('34098-8', '67554-0'))",7,7,7,100.0
6,"('32908-1', '22998-1')","(('22998-1', '34098-8'),)",7,7,7,100.0
7,"('22998-1', '34098-8')","(('32908-1', '22998-1'),)",7,7,7,100.0
